"order_id","dish_name","quantity","price","total_price","order_date"
"1049","CAPESANTE","1","825.00","825.00","2024-10-08"
"1050","SPINACH TRIFOLATE","1","775.00","775.00","2024-10-09"
"1050","RAVIOLI VERDE","1","725.00","725.00","2024-10-09"
"1051","FUNGHI RIPIENI","2","675.00","1350.00","2024-10-09"
"1052","AL TONO","1","345.00","345.00","2024-10-10"
"1052","SAN PELLEGRINO","2","250.00","500.00","2024-10-10"
"1053","CARBONARA","1","695.00","695.00","2024-10-11"
"1053","CARMEN'S BEST - 3 SCOOPS","1","280.00","280.00","2024-10-11"
"1054","CAESAR","1","445.00","445.00","2024-10-12"
"1054","TIRAMISU","1","350.00","350.00","2024-10-12"
"1054","VONGOLE","1","395.00","395.00","2024-10-12"
